id,name,domain,metric_type,frontier_class,direction,unit,year,value,source_name,source_url,provenance_note
genome_cost,Cost of sequencing a full human genome,biotech,cost-efficiency,frontier,lower_better,USD per genome,2001,95263072,NHGRI,https://www.genome.gov/about-genomics/fact-sheets/DNA-Sequencing-Costs-Data,NHGRI sequencing cost tracking (seed points).
genome_cost,Cost of sequencing a full human genome,biotech,cost-efficiency,frontier,lower_better,USD per genome,2003,50500000,NHGRI,https://www.genome.gov/about-genomics/fact-sheets/DNA-Sequencing-Costs-Data,NHGRI sequencing cost tracking (seed points).
genome_cost,Cost of sequencing a full human genome,biotech,cost-efficiency,frontier,lower_better,USD per genome,2005,20000000,NHGRI,https://www.genome.gov/about-genomics/fact-sheets/DNA-Sequencing-Costs-Data,NHGRI sequencing cost tracking (seed points).
genome_cost,Cost of sequencing a full human genome,biotech,cost-efficiency,frontier,lower_better,USD per genome,2007,10000000,NHGRI,https://www.genome.gov/about-genomics/fact-sheets/DNA-Sequencing-Costs-Data,NHGRI sequencing cost tracking (seed points).
genome_cost,Cost of sequencing a full human genome,biotech,cost-efficiency,frontier,lower_better,USD per genome,2008,1400000,NHGRI,https://www.genome.gov/about-genomics/fact-sheets/DNA-Sequencing-Costs-Data,NHGRI sequencing cost tracking (seed points).
genome_cost,Cost of sequencing a full human genome,biotech,cost-efficiency,frontier,lower_better,USD per genome,2010,50000,NHGRI,https://www.genome.gov/about-genomics/fact-sheets/DNA-Sequencing-Costs-Data,NHGRI sequencing cost tracking (seed points).
genome_cost,Cost of sequencing a full human genome,biotech,cost-efficiency,frontier,lower_better,USD per genome,2012,7000,NHGRI,https://www.genome.gov/about-genomics/fact-sheets/DNA-Sequencing-Costs-Data,NHGRI sequencing cost tracking (seed points).
genome_cost,Cost of sequencing a full human genome,biotech,cost-efficiency,frontier,lower_better,USD per genome,2014,1400,NHGRI,https://www.genome.gov/about-genomics/fact-sheets/DNA-Sequencing-Costs-Data,NHGRI sequencing cost tracking (seed points).
genome_cost,Cost of sequencing a full human genome,biotech,cost-efficiency,frontier,lower_better,USD per genome,2016,1000,NHGRI,https://www.genome.gov/about-genomics/fact-sheets/DNA-Sequencing-Costs-Data,NHGRI sequencing cost tracking (seed points).
genome_cost,Cost of sequencing a full human genome,biotech,cost-efficiency,frontier,lower_better,USD per genome,2018,900,NHGRI,https://www.genome.gov/about-genomics/fact-sheets/DNA-Sequencing-Costs-Data,NHGRI sequencing cost tracking (seed points).
genome_cost,Cost of sequencing a full human genome,biotech,cost-efficiency,frontier,lower_better,USD per genome,2020,700,NHGRI,https://www.genome.gov/about-genomics/fact-sheets/DNA-Sequencing-Costs-Data,NHGRI sequencing cost tracking (seed points).
genome_cost,Cost of sequencing a full human genome,biotech,cost-efficiency,frontier,lower_better,USD per genome,2022,600,NHGRI,https://www.genome.gov/about-genomics/fact-sheets/DNA-Sequencing-Costs-Data,NHGRI sequencing cost tracking (seed points).
gpu_perf_per_dollar,GPU computational performance per dollar,compute-hardware,cost-efficiency,frontier,higher_better,TFLOPS per $1000,2010,0.4,Our World in Data,https://ourworldindata.org/grapher/gpu-computational-performance-per-dollar,Frontier GPU performance-per-dollar (seed points).
gpu_perf_per_dollar,GPU computational performance per dollar,compute-hardware,cost-efficiency,frontier,higher_better,TFLOPS per $1000,2012,0.9,Our World in Data,https://ourworldindata.org/grapher/gpu-computational-performance-per-dollar,Frontier GPU performance-per-dollar (seed points).
gpu_perf_per_dollar,GPU computational performance per dollar,compute-hardware,cost-efficiency,frontier,higher_better,TFLOPS per $1000,2014,1.8,Our World in Data,https://ourworldindata.org/grapher/gpu-computational-performance-per-dollar,Frontier GPU performance-per-dollar (seed points).
gpu_perf_per_dollar,GPU computational performance per dollar,compute-hardware,cost-efficiency,frontier,higher_better,TFLOPS per $1000,2016,3.4,Our World in Data,https://ourworldindata.org/grapher/gpu-computational-performance-per-dollar,Frontier GPU performance-per-dollar (seed points).
gpu_perf_per_dollar,GPU computational performance per dollar,compute-hardware,cost-efficiency,frontier,higher_better,TFLOPS per $1000,2018,6.8,Our World in Data,https://ourworldindata.org/grapher/gpu-computational-performance-per-dollar,Frontier GPU performance-per-dollar (seed points).
gpu_perf_per_dollar,GPU computational performance per dollar,compute-hardware,cost-efficiency,frontier,higher_better,TFLOPS per $1000,2020,12,Our World in Data,https://ourworldindata.org/grapher/gpu-computational-performance-per-dollar,Frontier GPU performance-per-dollar (seed points).
gpu_perf_per_dollar,GPU computational performance per dollar,compute-hardware,cost-efficiency,frontier,higher_better,TFLOPS per $1000,2022,20,Our World in Data,https://ourworldindata.org/grapher/gpu-computational-performance-per-dollar,Frontier GPU performance-per-dollar (seed points).
gpu_perf_per_dollar,GPU computational performance per dollar,compute-hardware,cost-efficiency,frontier,higher_better,TFLOPS per $1000,2024,28,Our World in Data,https://ourworldindata.org/grapher/gpu-computational-performance-per-dollar,Frontier GPU performance-per-dollar (seed points).
green500_perf_per_watt,Top supercomputer performance per watt,compute-hardware,energy-efficiency,frontier,higher_better,GFLOPS per watt,2008,0.35,TOP500 / Green500,https://www.top500.org/lists/green500/,Frontier energy efficiency from Green500 (seed points).
green500_perf_per_watt,Top supercomputer performance per watt,compute-hardware,energy-efficiency,frontier,higher_better,GFLOPS per watt,2010,0.75,TOP500 / Green500,https://www.top500.org/lists/green500/,Frontier energy efficiency from Green500 (seed points).
green500_perf_per_watt,Top supercomputer performance per watt,compute-hardware,energy-efficiency,frontier,higher_better,GFLOPS per watt,2012,2,TOP500 / Green500,https://www.top500.org/lists/green500/,Frontier energy efficiency from Green500 (seed points).
green500_perf_per_watt,Top supercomputer performance per watt,compute-hardware,energy-efficiency,frontier,higher_better,GFLOPS per watt,2014,4,TOP500 / Green500,https://www.top500.org/lists/green500/,Frontier energy efficiency from Green500 (seed points).
green500_perf_per_watt,Top supercomputer performance per watt,compute-hardware,energy-efficiency,frontier,higher_better,GFLOPS per watt,2016,14,TOP500 / Green500,https://www.top500.org/lists/green500/,Frontier energy efficiency from Green500 (seed points).
green500_perf_per_watt,Top supercomputer performance per watt,compute-hardware,energy-efficiency,frontier,higher_better,GFLOPS per watt,2018,17,TOP500 / Green500,https://www.top500.org/lists/green500/,Frontier energy efficiency from Green500 (seed points).
green500_perf_per_watt,Top supercomputer performance per watt,compute-hardware,energy-efficiency,frontier,higher_better,GFLOPS per watt,2020,26,TOP500 / Green500,https://www.top500.org/lists/green500/,Frontier energy efficiency from Green500 (seed points).
green500_perf_per_watt,Top supercomputer performance per watt,compute-hardware,energy-efficiency,frontier,higher_better,GFLOPS per watt,2022,52,TOP500 / Green500,https://www.top500.org/lists/green500/,Frontier energy efficiency from Green500 (seed points).
green500_perf_per_watt,Top supercomputer performance per watt,compute-hardware,energy-efficiency,frontier,higher_better,GFLOPS per watt,2024,72,TOP500 / Green500,https://www.top500.org/lists/green500/,Frontier energy efficiency from Green500 (seed points).
hdd_cost_per_gb,Hard-drive storage cost,compute-storage,cost-efficiency,average,lower_better,USD per GB,1956,87539016000.0,Our World in Data,https://ourworldindata.org/grapher/historical-cost-of-computer-memory-and-storage,Auto-ingested from OWID grapher slug 'historical-cost-of-computer-memory-and-storage' filtered to Entity=World.
hdd_cost_per_gb,Hard-drive storage cost,compute-storage,cost-efficiency,average,lower_better,USD per GB,1959,67593253000.0,Our World in Data,https://ourworldindata.org/grapher/historical-cost-of-computer-memory-and-storage,Auto-ingested from OWID grapher slug 'historical-cost-of-computer-memory-and-storage' filtered to Entity=World.
hdd_cost_per_gb,Hard-drive storage cost,compute-storage,cost-efficiency,average,lower_better,USD per GB,1960,31477012000.0,Our World in Data,https://ourworldindata.org/grapher/historical-cost-of-computer-memory-and-storage,Auto-ingested from OWID grapher slug 'historical-cost-of-computer-memory-and-storage' filtered to Entity=World.
hdd_cost_per_gb,Hard-drive storage cost,compute-storage,cost-efficiency,average,lower_better,USD per GB,1964,29376050000.0,Our World in Data,https://ourworldindata.org/grapher/historical-cost-of-computer-memory-and-storage,Auto-ingested from OWID grapher slug 'historical-cost-of-computer-memory-and-storage' filtered to Entity=World.
hdd_cost_per_gb,Hard-drive storage cost,compute-storage,cost-efficiency,average,lower_better,USD per GB,1966,8365506600.0,Our World in Data,https://ourworldindata.org/grapher/historical-cost-of-computer-memory-and-storage,Auto-ingested from OWID grapher slug 'historical-cost-of-computer-memory-and-storage' filtered to Entity=World.
hdd_cost_per_gb,Hard-drive storage cost,compute-storage,cost-efficiency,average,lower_better,USD per GB,1970,1732299500.0,Our World in Data,https://ourworldindata.org/grapher/historical-cost-of-computer-memory-and-storage,Auto-ingested from OWID grapher slug 'historical-cost-of-computer-memory-and-storage' filtered to Entity=World.
hdd_cost_per_gb,Hard-drive storage cost,compute-storage,cost-efficiency,average,lower_better,USD per GB,1973,1513811200.0,Our World in Data,https://ourworldindata.org/grapher/historical-cost-of-computer-memory-and-storage,Auto-ingested from OWID grapher slug 'historical-cost-of-computer-memory-and-storage' filtered to Entity=World.
